comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugx4MGXE8oIUfNvv7jB4AaABAg,@pollyannaavila3146,Ugx4MGXE8oIUfNvv7jB4AaABAg.AS8_AIzBMKKAS8_CvNKuY7,@pollyannaavila3146,Um grrr,0,2026-01-19T00:56:29Z
UgxHuWF5LRgGCdy8wCZ4AaABAg,@meiresilvacarvalho5615,UgxHuWF5LRgGCdy8wCZ4AaABAg.AS8Q8AKqTYQAS8Q984EklD,@meiresilvacarvalho5615,Canal*,0,2026-01-18T23:28:35Z
UgxTDrbmTMJeAynmLhR4AaABAg,@GALODESAPATO-o5o,UgxTDrbmTMJeAynmLhR4AaABAg.AS5rKk-P-mPASV31zXrD9E,@OldRat234,Dono do Roblox é fd,0,2026-01-27T18:29:10Z
UgxjgprXRouYuTHWL_d4AaABAg,@meero_007,UgxjgprXRouYuTHWL_d4AaABAg.AS0TSTzmuXXASV2kK-mVoy,@OldRat234,Um fã de Bungo Stray Dogs kkkkkkkk ❤,1,2026-01-27T18:26:37Z
UgwM2LJ71ERMGvq67pR4AaABAg,@RdrigoYT,UgwM2LJ71ERMGvq67pR4AaABAg.ARtY552zQsSARtxHrXIB67,@Lilian-w9f4j,Nem são Pincher,0,2026-01-12T23:19:01Z
UgzccoCDLCCEVZEb8M54AaABAg,@justin-d6h9o,UgzccoCDLCCEVZEb8M54AaABAg.ARr-jZnz5k2ARr-lN28EwF,@justin-d6h9o,me quebrou akakakkaka,0,2026-01-11T19:51:41Z
Ugz36JDX_zWuBm45GM14AaABAg,@lucasnery6638,Ugz36JDX_zWuBm45GM14AaABAg.ARnV0Fz0JtEASLMa-yypVn,@udjejieie,"A tradução ficou ""urgente"" 😂😂",11,2026-01-24T00:07:34Z
Ugz36JDX_zWuBm45GM14AaABAg,@lucasnery6638,Ugz36JDX_zWuBm45GM14AaABAg.ARnV0Fz0JtEASbKCPT06yC,@joao95950,Pikavarinha 😂😂😂😂,6,2026-01-30T14:13:49Z
Ugz36JDX_zWuBm45GM14AaABAg,@lucasnery6638,Ugz36JDX_zWuBm45GM14AaABAg.ARnV0Fz0JtEASc0x9aMu_r,@udjejieie,"​@joao95950   a tradução ficou ""dinheiro fácil"" 😂😂😂😂😂",3,2026-01-30T20:44:49Z
Ugz36JDX_zWuBm45GM14AaABAg,@lucasnery6638,Ugz36JDX_zWuBm45GM14AaABAg.ARnV0Fz0JtEASmB-CNk2Zo,@cassiaoliveira6253,😂😂😂kkkkkkkkkk,2,2026-02-03T19:25:01Z
Ugz36JDX_zWuBm45GM14AaABAg,@lucasnery6638,Ugz36JDX_zWuBm45GM14AaABAg.ARnV0Fz0JtEASmB0kieAEQ,@cassiaoliveira6253,KK,1,2026-02-03T19:25:14Z
UgyNru3G1Ks4pic8TrJ4AaABAg,@nataliasilva395,UgyNru3G1Ks4pic8TrJ4AaABAg.ARmfuvS9s77ARtxMgO0Hck,@Lilian-w9f4j,Porque é uma mistureba de cães,1,2026-01-12T23:19:41Z
Ugx93iINCmQRauOFM0F4AaABAg,@analiviafrancasilva8752,Ugx93iINCmQRauOFM0F4AaABAg.ARlNFS-ZxQwARtxXVFuDOU,@Lilian-w9f4j,"Verdade ,são vira latas",0,2026-01-12T23:21:09Z
UgyB-9bSi_Q1arofvJd4AaABAg,@andrepimentel8929,UgyB-9bSi_Q1arofvJd4AaABAg.ARl5gbvpx7MARtxv7PyZyy,@Lilian-w9f4j,"Na verdade não são Pincher ,são misturas ,vira lata mesmo",0,2026-01-12T23:24:31Z
Ugyn1ywL6tIAwEiWJkB4AaABAg,@IVie14096,Ugyn1ywL6tIAwEiWJkB4AaABAg.ARiUhob7KrLARiUuqRU7Oj,@IVie14096,eu não consigo sair mais desse vídeo gente logo logo vai fazer uma semana que eu estou assistindo esse vídeo repetidamente kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1,2026-01-08T12:30:41Z
Ugyn1ywL6tIAwEiWJkB4AaABAg,@IVie14096,Ugyn1ywL6tIAwEiWJkB4AaABAg.ARiUhob7KrLARiVKOSq1Zq,@IVie14096,a dona do primeiro Pinscher parece a vovó dos gruds,1,2026-01-08T12:34:19Z
UgzpAiNgCdweIh__6FV4AaABAg,@Kim_Taehyung_V27,UgzpAiNgCdweIh__6FV4AaABAg.ARhyKg1fB5RASGAa4qRst0,@strawdani,Juro,3,2026-01-21T23:46:31Z
UgzpAiNgCdweIh__6FV4AaABAg,@Kim_Taehyung_V27,UgzpAiNgCdweIh__6FV4AaABAg.ARhyKg1fB5RASIidwLon0L,@Nathan787_algumacoisa,Um q?,1,2026-01-22T23:31:21Z
UgzpAiNgCdweIh__6FV4AaABAg,@Kim_Taehyung_V27,UgzpAiNgCdweIh__6FV4AaABAg.ARhyKg1fB5RASKMxkCoL1I,@cleomildaalvesoliveira5056,"""Dame um 🤬👺🤬👺👹👹👹👹""",0,2026-01-23T14:51:34Z
UgzpAiNgCdweIh__6FV4AaABAg,@Kim_Taehyung_V27,UgzpAiNgCdweIh__6FV4AaABAg.ARhyKg1fB5RASk3Xz63ULB,@adrianamiyahiranascimento3781,@Nathan787_algumacoisa  UM EXORCISTA,0,2026-02-02T23:41:22Z
UgzpAiNgCdweIh__6FV4AaABAg,@Kim_Taehyung_V27,UgzpAiNgCdweIh__6FV4AaABAg.ARhyKg1fB5RASk3oycCPNR,@Nathan787_algumacoisa,⁠@adrianamiyahiranascimento3781 um q? N ouvi direto-,0,2026-02-02T23:43:50Z
